job_title,salary,company_size,company_type,company_industry,company_sector,company_revenue,company_name,company_rating,state,python,SQL,excel,tableau,power_bi,math,machine_learning,statistics,presentation,reporting,company_age,senior
Reporting and Data Analyst Health Safety and Environment (HSE),129992.0,1001-5000,Government,Energy & Utilities,"Energy, Mining, Utilities",$500 million to $1 billion (USD),TransGrid,3.1,NSW,0,0,1,0,1,0,0,1,1,1,,0
Business Analyst,90000.0,>10000,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),Komatsu Australia,4.0,NSW,0,0,1,0,1,0,0,0,0,1,,0
Junior Data Analyst | 6 Month contract + ext.,83666.0,51-200,Company - Private,Enterprise Software & Network Solutions,Information Technology,,Billigence Pty Ltd,4.1,NSW,0,1,1,1,1,0,0,0,0,0,,0
Data Analyst (Centre for Big Data Research),110500.0,1001-5000,College / University,Colleges & Universities,Education,,University of New South Wales,4.3,NSW,0,1,1,0,0,0,0,1,0,0,74.0,0
Data Analyst,86603.0,1-50,Company - Private,HR Consulting,Human Resources & Staffing,,Cox Purtell,4.4,NSW,1,1,1,0,0,1,1,0,0,0,29.0,0
Data Analyst,79034.0,501-1000,Company - Private,,,,Ampcontrol,3.5,NSW,1,1,0,0,1,0,0,0,0,1,,0
Analyst | Quantitative Market Risk,105428.0,>10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),Macquarie Group Limited,4.0,NSW,1,0,1,0,0,1,0,1,0,1,54.0,0
Data Analyst Actuary,114000.0,5001-10000,Company - Private,HR Consulting,Human Resources & Staffing,$2 to $5 billion (USD),HAYS,3.6,NSW,0,1,1,0,0,1,0,1,0,0,55.0,0
Credit Risk Analyst,87464.0,5001-10000,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),AMP Limited,3.1,NSW,1,0,1,0,1,1,0,1,0,1,174.0,0
Investment Governance and Reporting Analyst,79492.0,1001-5000,Company - Public,Investment & Asset Management,Finance,$500 million to $1 billion (USD),IOOF Holdings,3.3,NSW,0,0,1,0,0,0,0,1,0,1,177.0,0
"Data Analyst, Video Infrastructure",126866.0,>10000,Company - Private,Internet & Web Services,Information Technology,,TikTok,3.4,NSW,1,1,0,0,0,1,0,1,0,1,7.0,0
Data Analyst,104022.0,201-500,Company - Private,,,,Pyramid Global Technologies,5.0,NSW,0,1,0,0,0,0,0,0,0,0,,0
"Risk Analyst - Governance, Risk and Compliance",112859.0,>10000,Non-profit Organisation,Accounting & Tax,Finance,$2 to $5 billion (USD),PKF Australia,3.6,NSW,0,0,1,1,1,0,0,0,0,0,54.0,0
Analyst – Data Quality,93466.0,>10000,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD),Stryker,4.1,NSW,0,1,1,0,0,1,0,1,0,1,82.0,0
Junior Finance Analyst – Supply Chain,89741.0,>10000,Company - Private,Food & Beverage Manufacturing,Manufacturing,$5 to $10 billion (USD),Pernod Ricard,4.1,NSW,0,0,1,0,1,0,0,0,0,1,48.0,0
Data Analyst,122500.0,201-500,Company - Private,Security & Protective,Management & Consulting,,Michael Page,4.4,NSW,1,1,1,0,1,0,0,0,0,0,,0
